Date,Product,Category,Selling_Price,Cost_Price,Units_Sold,Units_Returned,Rating,Competitor_Price,Review_Text
2026-01-01,65W Fast Charger,Chargers,899,520,36,1,4.5,849,fast charging is excellent
2026-01-01,Type-C Braided Cable,Cables,249,95,45,5,4.0,219,durable cable
2026-01-01,Laptop Stand,Laptop Accessories,699,410,22,0,4.7,749,very sturdy
2026-01-01,Car Charger,Car Accessories,499,290,15,1,3.4,399,heating issue
2026-01-01,Bike Mobile Holder,Mobile Accessories,349,150,26,1,4.2,299,good grip
2026-01-01,USB Hub 4 Port,Laptop Accessories,799,480,28,3,4.1,849,useful product
2026-01-01,Wireless Charger,Chargers,1199,760,34,4,3.8,1099,looks premium
2026-01-01,HDMI Cable,Cables,399,160,32,1,4.3,349,clear display
2026-01-02,65W Fast Charger,Chargers,899,520,38,1,4.5,849,heating issue sometimes
2026-01-02,Type-C Braided Cable,Cables,249,95,47,6,4.0,219,charging speed good
2026-01-02,Laptop Stand,Laptop Accessories,699,410,24,0,4.7,749,good for work from home
2026-01-02,Car Charger,Car Accessories,499,290,17,2,3.4,399,slow charging
2026-01-02,Bike Mobile Holder,Mobile Accessories,349,150,28,1,4.2,299,useful for delivery riders
2026-01-02,USB Hub 4 Port,Laptop Accessories,799,480,30,3,4.1,849,works with laptop
2026-01-02,Wireless Charger,Chargers,1199,760,36,4,3.8,1099,slow charging
2026-01-02,HDMI Cable,Cables,399,160,34,1,4.3,349,good quality cable
2026-01-03,65W Fast Charger,Chargers,899,520,40,1,4.5,849,good build quality
2026-01-03,Type-C Braided Cable,Cables,249,95,49,6,4.0,219,stopped working after few days
2026-01-03,Laptop Stand,Laptop Accessories,699,410,26,1,4.7,749,premium quality
2026-01-03,Car Charger,Car Accessories,499,290,19,2,3.4,399,not worth price
2026-01-03,Bike Mobile Holder,Mobile Accessories,349,150,30,1,4.2,299,plastic quality okay
2026-01-03,USB Hub 4 Port,Laptop Accessories,799,480,32,4,4.1,849,slight heating
2026-01-03,Wireless Charger,Chargers,1199,760,38,4,3.8,1099,phone heats
2026-01-03,HDMI Cable,Cables,399,160,36,1,4.3,349,value for money
2026-01-04,65W Fast Charger,Chargers,899,520,42,1,4.5,849,fast charging is excellent
2026-01-04,Type-C Braided Cable,Cables,249,95,51,6,4.0,219,durable cable
2026-01-04,Laptop Stand,Laptop Accessories,699,410,28,1,4.7,749,very sturdy
2026-01-04,Car Charger,Car Accessories,499,290,21,2,3.4,399,heating issue
2026-01-04,Bike Mobile Holder,Mobile Accessories,349,150,32,1,4.2,299,good grip
2026-01-04,USB Hub 4 Port,Laptop Accessories,799,480,34,4,4.1,849,useful product
2026-01-04,Wireless Charger,Chargers,1199,760,40,5,3.8,1099,looks premium
2026-01-04,HDMI Cable,Cables,399,160,38,1,4.3,349,clear display
